"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8220","Data driven login:Valid login","chromium","2026-06-02","passed","2026-06-02","","LoginDataDriven.spec.ts","",""
"","6367","CSV Data driven login:Invalid login @datadriven","chromium","2026-06-02","passed","2026-06-02","","LoginDataDriven.spec.ts","",""
"","6880","Data driven login:Invalid login","chromium","2026-06-02","passed","2026-06-02","","LoginDataDriven.spec.ts","",""
"","7709","verify logout test @master @regression","chromium","2026-06-02","passed","2026-06-02","","Logout.spec.ts","",""
"","7268","Data driven login:Invalid login @datadriven","chromium","2026-06-02","passed","2026-06-02","","LoginDataDriven.spec.ts","",""
"","5789","Data driven login:Valid login @master @sanity @regression","chromium","2026-06-02","passed","2026-06-02","","LoginDataDriven.spec.ts","",""
"","16928","verify end to end test @EndToEnd","chromium","2026-06-08","passed","2026-06-08","","EndToEndTest.spec.ts","",""
"","28850","verify login credint","chromium","2026-06-01","failed","2026-06-01","","Login.spec.ts","",""
"","5622","verify SearchProducts @master @regression","chromium","2026-06-03","passed","2026-06-03","","SearchProduct.spec.ts","",""
"","6208","Data driven login:Invalid login @master @sanity @regression","chromium","2026-06-02","passed","2026-06-02","","LoginDataDriven.spec.ts","",""
"","7838","Data driven login:Valid login @datadriven","chromium","2026-06-02","passed","2026-06-02","","LoginDataDriven.spec.ts","",""
"","7884","Add product to cart @master @regression","chromium","2026-06-03","passed","2026-06-03","","AddToCart.spec.ts","",""
"","15982","verify registration success @master @sanity @regression","chromium","2026-06-05","passed","2026-06-05","","AccountRegistration.spec.ts","",""
"","5529","CSV Data driven login:Valid login @datadriven","chromium","2026-06-02","passed","2026-06-02","","LoginDataDriven.spec.ts","",""
"","13068","verify login credint @master @sanity @regression","chromium","2026-06-05","passed","2026-06-05","","Login.spec.ts","",""
